player_id,primary_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
333567,2,0.0,0.0,1.0,2.2015241515335224e-286,2.250612983973203e-132,8.077503160262548e-183,1.7594553862258435e-33,0.0,8.487591823666855e-47,1.3832832672851527e-70
333585,5,0.0,7.80895726540097e-12,2.01548424823e-312,2.16427292903117e-87,0.0,0.9999999999921911,0.0,1.5339398726337402e-100,7.383956163738441e-80,0.0
333604,5,0.0,1.2248180190023598e-54,9.69261879028778e-187,1.3730401791511312e-127,1.2449999326e-313,1.0,0.0,9.73152783328879e-183,3.421186448667979e-33,5.141850495047723e-300
333702,7,0.0,8.77061575908476e-50,0.0,6.405371219260454e-16,0.0,3.0457264436488735e-254,0.0,1.0,0.0,0.0
333975,6,0.0,0.0,7.598536542048012e-25,0.0,3.085287412565903e-95,1.4045290106256123e-291,1.0,0.0,1.2139269449978083e-106,4.7282067391633355e-35
333981,8,0.0,3.5550378922522527e-166,1.2510352895141294e-38,3.954145567624805e-200,2.7022021174876436e-211,1.9573620327279327e-53,1.1695587960847736e-182,0.0,1.0,1.2834567380566414e-162
334095,5,0.0,1.3169058351317216e-67,1.0392132396753987e-146,1.805979146910207e-136,8.12441246118449e-289,1.0,0.0,2.8119959272489075e-209,4.1114180451114654e-17,9.578168035400002e-267
334562,5,0.0,1.5643199387029821e-53,1.7006654424219563e-190,6.0151220515366445e-127,2.586265644e-315,1.0,0.0,1.7668183359497518e-180,2.7025808877154656e-34,3.5615946863642963e-302
334664,5,0.0,1.273464266925638e-47,6.264884081463035e-210,3.3424708018464053e-122,0.0,1.0,0.0,1.0807221664542005e-168,2.1213988311946904e-41,1.8290944e-315
360077,1,0.0,1.0,0.0,8.832493030682019e-42,0.0,2.4636017149427015e-91,0.0,9.268929946503301e-16,5.047629581731098e-260,0.0
606780,7,0.0,2.664529026771881e-09,0.0,5.576058405355205e-28,0.0,4.508825823430563e-139,0.0,0.9999999973354718,0.0,0.0
606792,8,0.0,4.932937565554271e-186,4.617970095936546e-24,1.667616135977524e-210,5.399371297061374e-195,2.7640129635299304e-66,6.155374020914203e-150,0.0,1.0,7.940304630528681e-143
737608,4,5.8635271678434065e-84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.327796850815513e-53
750234,6,0.0,0.0,1.271462212290364e-16,0.0,3.976424891912403e-98,3.7374290462938214e-270,1.0,0.0,1.0312647825129394e-93,2.7224777032373065e-37
812205,1,0.0,1.0,0.0,8.41430217469714e-44,0.0,8.107343787334382e-88,0.0,4.511265390134933e-18,6.628596507939076e-253,0.0
813294,2,0.0,1.0229930984491117e-286,1.0,1.4541478736308736e-264,4.0678091677398384e-150,7.983693261087285e-145,2.3438257922965653e-58,0.0,2.085467120502098e-29,7.976592665761615e-90
818707,7,0.0,1.2193098700626166e-64,0.0,5.602506483851249e-07,0.0,3.8227742332458877e-299,0.0,0.999999439749353,0.0,0.0
826489,6,0.0,0.0,1.695634960322205e-57,0.0,2.5454665051691953e-75,0.0,1.0,0.0,3.3903251432408697e-156,1.696073449387626e-19
851352,1,0.0,1.0,0.0,8.68466000531833e-52,0.0,2.7264904019746824e-71,0.0,8.650037539471018e-29,1.1645550048252214e-223,0.0
31164,8,0.0,2.488881520668314e-96,4.390435678660889e-94,1.0951824675309146e-155,1.3492539409882886e-253,2.4240190836952924e-10,2.1551298879572964e-303,9.135687349193353e-260,0.9999999997575983,1.512472694734342e-219
31170,2,0.0,0.0,1.0,2.1452465503628282e-287,2.92377631622064e-131,1.4423152172437287e-184,2.809597268031399e-31,0.0,4.9257060781713505e-48,1.8305576765438098e-69
31178,5,0.0,1.7210870908462272e-58,1.8871534257785248e-174,1.6287110464976972e-130,1.6572741243041507e-306,1.0,0.0,1.5226065892369233e-190,1.926839936581525e-28,1.9005165864232298e-290
36471,2,0.0,1.9505726438584576e-271,1.0,3.4487493203097793e-256,2.7552855786925885e-154,4.4977611517905873e-132,3.001960580861163e-67,0.0,7.140149864637803e-23,1.8622663037887872e-94
36472,1,0.0,1.0,0.0,1.275961292321236e-46,0.0,2.981021098926351e-82,0.0,1.2237467580548268e-21,5.954000441641452e-243,0.0
43202,9,2.2314e-319,0.0,7.022075095509578e-93,0.0,8.122508697582542e-50,0.0,5.889833516021133e-08,0.0,2.0737584280600672e-206,0.9999999411016649
43211,6,0.0,0.0,1.710593819714653e-64,0.0,4.680054539591835e-69,0.0,0.9999999999999858,0.0,1.7011800871496272e-166,1.501374768074915e-14
63232,6,0.0,0.0,2.0361446351083365e-32,0.0,8.207917783233695e-92,4.05324212900054e-310,1.0,0.0,2.286856719558658e-118,2.0634692493446547e-32
63242,9,3.869228149103017e-197,0.0,1.658715365287745e-291,0.0,2.5781098101164826e-17,0.0,8.251236303683032e-135,0.0,0.0,1.0
67113,5,0.0,2.740576656159706e-22,2.4696443659508196e-283,1.4879081722364495e-98,0.0,1.0,0.0,5.889494730119279e-120,3.997515455634725e-69,0.0
161628,8,0.0,1.7710814800995882e-142,1.4881034194883675e-56,1.0342558792516788e-186,1.3706021967663508e-227,2.791370574120789e-38,2.1568024372527273e-222,0.0,1.0,2.221695397044975e-183
286727,0,1.0,0.0,0.0,0.0,5.444483972274815e-48,0.0,0.0,0.0,0.0,5.445102963812531e-308
332758,7,0.0,0.048501164323122625,0.0,2.7952382385653946e-28,0.0,2.1268708653654558e-119,0.0,0.9514988356768792,2.3583149753536167e-307,0.0
332909,5,0.0,1.7563435777841396e-13,4.960319027244994e-308,2.7561943867892155e-89,0.0,0.9999999999998224,0.0,1.3424184680554133e-103,3.720092060726562e-78,0.0
333560,8,0.0,4.187518779508095e-174,5.173137357958518e-33,1.4840110631651748e-204,1.2782947540369718e-204,1.986477392398611e-58,6.078939061019619e-170,0.0,1.0,2.151022026453625e-154
333594,1,0.0,1.0,0.0,8.673802516669584e-68,0.0,5.337822322491141e-30,0.0,1.376150824328773e-57,5.648905996257741e-148,0.0
333603,8,0.0,8.986785624330797e-151,1.8963695900610268e-50,1.2744054474998292e-191,2.9674671186900115e-222,1.5674464927388207e-43,9.592048188335284e-209,0.0,1.0,2.4382873471170844e-176
333606,8,0.0,1.4505610587409488e-143,1.4267583888316411e-55,2.456952183828715e-187,4.938894237709717e-227,5.710017767373878e-39,1.394759631876887e-220,0.0,1.0,1.1832540867563594e-182
333627,5,0.0,2.986200437726592e-11,3.850043956e-315,1.4020572089254658e-86,0.0,0.9999999999701359,0.0,2.050713213719599e-99,4.567148089030228e-81,0.0
