player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
66939,18647,12239,1024,1056,32966,238887,157267,13519,13398,423071,0.5656433901595583,0.3712612995207183,0.031062306618940726,0.032033003700782624,0.07805782650374445,0.07782306523301137,0.07574524742954361,0.07881773399014778,-54.78353,-55.65781,53.06408,52.160812,55.196964,-55.98364,-54.3252,50.4227,-54.009666,53.73311,-55.49483,-52.331333,-54.53002,-54.39224,-54.878265,-48.220566,-54.344772,51.773346,53.080803,49.541187,53.84899,-55.23893,-52.610302,47.568027,52.229565,55.463562,52.211586,55.27723,55.69641,-50.80615,56.03132,-53.496876
19747,9839,7250,478,651,18218,453046,307824,20636,24618,806124,0.5400702601822374,0.3979580634537271,0.026237786804259523,0.03573388955977604,0.021717441496007028,0.023552419564426424,0.023163403760418685,0.026444065318059956,-76.24535,-76.88979,73.64713,72.21775,76.530624,-77.408394,-74.84139,70.22585,-74.68411,74.306114,-76.50502,-71.85553,-74.78397,-74.97725,-75.758644,-66.40198,-74.438286,71.41205,73.19964,68.14402,74.32669,-76.402145,-72.88716,65.63129,72.56834,76.31328,71.777115,76.35277,76.50912,-69.80358,77.37594,-74.32809
966427,45750,33724,1798,2268,83540,1122310,845416,44682,57559,2069967,0.5476418482164233,0.4036868565956428,0.02152262389274599,0.027148671295187932,0.04076413825057248,0.039890420810583194,0.04023991764021306,0.03940304730797964,-90.58419,-91.336685,87.294525,85.75026,90.964,-92.071495,-88.896126,83.14764,-88.66712,88.469696,-90.80036,-85.33453,-88.57295,-88.981544,-90.03428,-78.87218,-88.32004,84.80288,86.86862,81.061615,88.307465,-90.868835,-86.55523,77.958496,86.12653,90.40477,85.08011,90.89994,90.9934,-82.63894,91.70418,-88.45979
332768,4850,3582,115,247,8794,271629,208637,8569,13094,501929,0.5515123948146463,0.4073231748919718,0.013077098021378212,0.028087332272003638,0.017855236370196113,0.01716857508495617,0.013420469132920994,0.01886360164961051,-69.2673,-69.77417,66.652504,65.56353,69.233406,-70.293945,-68.11736,63.633205,-67.830894,67.57442,-69.67858,-65.5346,-68.14198,-68.265656,-68.96026,-60.360645,-67.863884,64.93611,66.4423,61.71391,67.594475,-69.48293,-66.344086,59.464394,65.827286,69.59925,65.327934,69.52845,69.58126,-63.548794,70.44544,-67.347404
814497,45995,32412,1429,2404,82240,504234,355446,15688,26359,901727,0.5592777237354085,0.3941147859922179,0.017375972762645915,0.029231517509727627,0.09121756962045399,0.09118684694721561,0.09108873023967363,0.09120224591221215,-60.54757,-61.58618,58.852272,57.752857,61.27298,-62.038044,-60.153587,55.776302,-59.873955,59.464764,-61.3708,-57.859795,-60.58275,-60.32329,-60.65883,-53.446564,-60.107113,57.34424,58.925526,55.101402,59.569805,-61.17254,-58.087772,52.76592,57.776546,61.419945,57.819572,61.1331,61.786457,-56.224422,61.93272,-59.28373
333854,52774,39655,2694,2516,97639,1225311,917612,57867,57403,2258193,0.5405012341379981,0.40613894038242915,0.027591433750857753,0.02576839172871496,0.043069881850403696,0.04321543310244417,0.0465550313650267,0.043830461822552826,-99.504745,-100.14934,95.862785,94.311745,100.04382,-101.239784,-98.04867,91.357346,-97.35021,97.54302,-100.09636,-93.37716,-97.5151,-97.775154,-98.66037,-86.58818,-97.15865,93.14039,95.762184,88.88015,97.07071,-99.925674,-95.06456,85.73916,94.511055,99.72404,93.39534,99.54886,99.89022,-90.930756,100.86394,-96.68388
1006239,16368,11584,613,1024,29589,479108,351466,19278,24151,874003,0.553178546081314,0.3914968400419075,0.020717158403460747,0.03460745547331779,0.03416348714694808,0.03295909134880757,0.03179790434692396,0.04239990062523291,-86.745964,-87.52264,83.76025,82.20739,87.29277,-88.10728,-85.38361,79.77364,-85.048615,84.75679,-87.142365,-81.72982,-85.217064,-85.4862,-86.11603,-75.74149,-84.75175,81.21744,83.47647,77.766266,84.730156,-87.03106,-82.95387,74.87339,82.407196,86.95962,81.684166,86.9931,87.167336,-79.52053,87.88657,-84.6746
19836,43281,35377,1522,2341,82521,1003782,812017,39179,57587,1912565,0.5244846766277674,0.42870299681293245,0.01844379006555907,0.02836853649374099,0.043117927996317924,0.043566821876881885,0.03884734168814926,0.04065153593693021,-97.84006,-98.60285,94.08835,92.76467,98.21324,-99.553055,-96.14453,89.78793,-95.707375,95.59913,-97.95998,-91.91001,-95.53929,-96.084015,-97.15572,-85.09281,-95.30541,91.38859,93.55716,87.55009,95.232376,-98.28074,-93.630196,83.993164,92.95461,97.677124,91.74175,98.248055,98.43147,-89.00436,98.958305,-95.39985
1012893,3001,2272,263,146,5682,325633,250847,15938,15122,607540,0.528159098908835,0.3998592045054558,0.046286518831397394,0.025695177754311863,0.009215896423274054,0.009057313820775214,0.016501443091981427,0.009654807565136887,-70.17029,-70.86296,67.73637,66.53797,70.32347,-71.420105,-69.0372,64.599556,-68.97118,68.72339,-70.6217,-66.31148,-68.89325,-69.105125,-70.02446,-61.17455,-68.905594,65.908905,67.640526,62.875862,68.50906,-70.36946,-67.22423,60.27753,66.80948,70.34204,66.32441,70.45481,70.68142,-64.257744,71.329475,-68.469666
1012894,37966,29839,1604,2022,71431,773201,610910,32548,41797,1458456,0.5315059287984208,0.41773179711889796,0.022455236521958254,0.028307037560722937,0.0491023679483084,0.04884352850665401,0.04928106181639425,0.04837667775199177,-83.20337,-83.668465,79.67376,78.144844,83.10775,-84.031654,-81.566826,76.03643,-80.950775,81.111496,-83.75388,-78.85936,-80.989944,-81.38519,-82.64985,-72.345024,-80.84637,77.97678,79.4824,73.49451,81.29528,-83.203606,-79.452805,71.64397,78.750404,82.67758,77.90161,83.49647,82.79474,-76.223785,84.1316,-80.94959
332996,89355,71798,3648,5219,170020,1000115,803668,40274,57879,1901936,0.5255558169627103,0.4222914951182214,0.021456299258910717,0.030696388660157628,0.089344725356584,0.08933788579363618,0.09057953021800666,0.09017087371931097,-62.34689,-63.470844,60.652245,59.44334,63.091175,-63.962135,-61.946342,57.38196,-61.719986,61.23822,-63.243885,-59.67441,-62.471447,-62.13372,-62.51288,-55.08751,-62.043278,59.11174,60.74816,56.787144,61.362732,-63.01372,-59.778862,54.38667,59.515648,63.307987,59.611904,62.962826,63.74024,-57.952824,63.817284,-61.024452
628875,41122,32768,1766,2322,77978,930007,755201,36941,56725,1778874,0.5273538690399856,0.42022108799917923,0.02264741337300264,0.029777629587832467,0.04421687148591355,0.04338977305379627,0.047805960856500906,0.04093433230498017,-101.71743,-102.635544,97.52462,95.73931,101.55213,-103.29578,-100.128746,93.039116,-99.0173,99.27646,-102.776344,-96.622055,-99.45389,-99.70687,-101.3704,-88.55172,-98.94784,95.74528,97.33952,90.11164,99.612045,-101.847244,-97.18018,87.57953,96.38168,101.140625,95.33395,102.335686,101.66745,-93.226654,103.07476,-99.07351
